FinancialYear,Quarter,OrgCode,OrgName,Measure,Value
2022-2023,1,E38000153,NHS Staffordshire and Stoke-on-Trent ICB - 05Q,Women known to be smokers at time of delivery,46
2022-2023,1,E38000153,NHS Staffordshire and Stoke-on-Trent ICB - 05Q,Women whose smoking status was not known at time of delivery,4
2022-2023,1,E38000173,NHS Staffordshire and Stoke-on-Trent ICB - 05V,Number of maternities,324
2022-2023,1,E38000173,NHS Staffordshire and Stoke-on-Trent ICB - 05V,Women known to be non-smokers at time of delivery,297
2022-2023,1,E38000173,NHS Staffordshire and Stoke-on-Trent ICB - 05V,Women known to be smokers at time of delivery,25
2022-2023,1,E38000173,NHS Staffordshire and Stoke-on-Trent ICB - 05V,Women whose smoking status was not known at time of delivery,2
2022-2023,1,E38000175,NHS Staffordshire and Stoke-on-Trent ICB - 05W,Number of maternities,761
2022-2023,1,E38000175,NHS Staffordshire and Stoke-on-Trent ICB - 05W,Women known to be non-smokers at time of delivery,642
2022-2023,1,E38000175,NHS Staffordshire and Stoke-on-Trent ICB - 05W,Women known to be smokers at time of delivery,112
2022-2023,1,E38000175,NHS Staffordshire and Stoke-on-Trent ICB - 05W,Women whose smoking status was not known at time of delivery,7
2022-2023,1,E38000257,"NHS Shropshire, Telford and Wrekin ICB - M2L0M",Number of maternities,1092
2022-2023,1,E38000257,"NHS Shropshire, Telford and Wrekin ICB - M2L0M",Women known to be non-smokers at time of delivery,941
2022-2023,1,E38000257,"NHS Shropshire, Telford and Wrekin ICB - M2L0M",Women known to be smokers at time of delivery,132
2022-2023,1,E38000257,"NHS Shropshire, Telford and Wrekin ICB - M2L0M",Women whose smoking status was not known at time of delivery,19
2022-2023,1,E38000238,NHS Lincolnshire ICB - 71E,Number of maternities,1495
2022-2023,1,E38000238,NHS Lincolnshire ICB - 71E,Women known to be non-smokers at time of delivery,1271
2022-2023,1,E38000238,NHS Lincolnshire ICB - 71E,Women known to be smokers at time of delivery,197
2022-2023,1,E38000238,NHS Lincolnshire ICB - 71E,Women whose smoking status was not known at time of delivery,27
2022-2023,1,E38000051,"NHS Leicester, Leicestershire and Rutland ICB - 03W",Number of maternities,563
2022-2023,1,E38000051,"NHS Leicester, Leicestershire and Rutland ICB - 03W",Women known to be non-smokers at time of delivery,514
2022-2023,1,E38000051,"NHS Leicester, Leicestershire and Rutland ICB - 03W",Women known to be smokers at time of delivery,49
2022-2023,1,E38000051,"NHS Leicester, Leicestershire and Rutland ICB - 03W",Women whose smoking status was not known at time of delivery,0
2022-2023,1,E38000097,"NHS Leicester, Leicestershire and Rutland ICB - 04C",Number of maternities,1139
2022-2023,1,E38000097,"NHS Leicester, Leicestershire and Rutland ICB - 04C",Women known to be non-smokers at time of delivery,1028
2022-2023,1,E38000097,"NHS Leicester, Leicestershire and Rutland ICB - 04C",Women known to be smokers at time of delivery,111
2022-2023,1,E38000097,"NHS Leicester, Leicestershire and Rutland ICB - 04C",Women whose smoking status was not known at time of delivery,0
2022-2023,1,E38000201,"NHS Leicester, Leicestershire and Rutland ICB - 04V",Number of maternities,621
2022-2023,1,E38000201,"NHS Leicester, Leicestershire and Rutland ICB - 04V",Women known to be non-smokers at time of delivery,554
2022-2023,1,E38000201,"NHS Leicester, Leicestershire and Rutland ICB - 04V",Women known to be smokers at time of delivery,67
2022-2023,1,E38000201,"NHS Leicester, Leicestershire and Rutland ICB - 04V",Women whose smoking status was not known at time of delivery,0
2022-2023,1,E38000251,NHS Coventry and Warwickshire ICB - B2M3M,Number of maternities,2231
2022-2023,1,E38000251,NHS Coventry and Warwickshire ICB - B2M3M,Women known to be non-smokers at time of delivery,1945
2022-2023,1,E38000251,NHS Coventry and Warwickshire ICB - B2M3M,Women known to be smokers at time of delivery,164
2022-2023,1,E38000251,NHS Coventry and Warwickshire ICB - B2M3M,Women whose smoking status was not known at time of delivery,122
2022-2023,1,E38000236,NHS Herefordshire and Worcestershire ICB - 18C,Number of maternities,1553
2022-2023,1,E38000236,NHS Herefordshire and Worcestershire ICB - 18C,Women known to be non-smokers at time of delivery,1399
2022-2023,1,E38000236,NHS Herefordshire and Worcestershire ICB - 18C,Women known to be smokers at time of delivery,153
2022-2023,1,E38000236,NHS Herefordshire and Worcestershire ICB - 18C,Women whose smoking status was not known at time of delivery,1
2022-2023,1,E38000258,NHS Birmingham and Solihull ICB - 15E,Number of maternities,3682
2022-2023,1,E38000258,NHS Birmingham and Solihull ICB - 15E,Women known to be non-smokers at time of delivery,3381
2022-2023,1,E38000258,NHS Birmingham and Solihull ICB - 15E,Women known to be smokers at time of delivery,282
2022-2023,1,E38000258,NHS Birmingham and Solihull ICB - 15E,Women whose smoking status was not known at time of delivery,19
2022-2023,1,E38000261,NHS Derby and Derbyshire ICB - 15M,Number of maternities,2307
2022-2023,1,E38000261,NHS Derby and Derbyshire ICB - 15M,Women known to be non-smokers at time of delivery,2044
2022-2023,1,E38000261,NHS Derby and Derbyshire ICB - 15M,Women known to be smokers at time of delivery,246
2022-2023,1,E38000261,NHS Derby and Derbyshire ICB - 15M,Women whose smoking status was not known at time of delivery,17
2022-2023,1,E38000262,NHS Northamptonshire ICB - 78H,Number of maternities,1896
2022-2023,1,E38000262,NHS Northamptonshire ICB - 78H,Women known to be non-smokers at time of delivery,1673
2022-2023,1,E38000262,NHS Northamptonshire ICB - 78H,Women known to be smokers at time of delivery,212
2022-2023,1,E38000262,NHS Northamptonshire ICB - 78H,Women whose smoking status was not known at time of delivery,11
2022-2023,1,E38000008,NHS Nottingham and Nottinghamshire ICB - 02Q,Number of maternities,228
2022-2023,1,E38000008,NHS Nottingham and Nottinghamshire ICB - 02Q,Women known to be non-smokers at time of delivery,195
2022-2023,1,E38000008,NHS Nottingham and Nottinghamshire ICB - 02Q,Women known to be smokers at time of delivery,27
2022-2023,1,E38000008,NHS Nottingham and Nottinghamshire ICB - 02Q,Women whose smoking status was not known at time of delivery,6
2022-2023,1,E38000243,NHS Nottingham and Nottinghamshire ICB - 52R,Number of maternities,2381
2022-2023,1,E38000243,NHS Nottingham and Nottinghamshire ICB - 52R,Women known to be non-smokers at time of delivery,2028
2022-2023,1,E38000243,NHS Nottingham and Nottinghamshire ICB - 52R,Women known to be smokers at time of delivery,312
2022-2023,1,E38000243,NHS Nottingham and Nottinghamshire ICB - 52R,Women whose smoking status was not known at time of delivery,41
2022-2023,1,E38000259,NHS Black Country ICB - D2P2L,Number of maternities,4076
2022-2023,1,E38000259,NHS Black Country ICB - D2P2L,Women known to be non-smokers at time of delivery,3668
2022-2023,1,E38000259,NHS Black Country ICB - D2P2L,Women known to be smokers at time of delivery,398
2022-2023,1,E38000259,NHS Black Country ICB - D2P2L,Women whose smoking status was not known at time of delivery,10
2022-2023,1,E38000127,NHS North East and North Cumbria ICB - 99C,Number of maternities,489
2022-2023,1,E38000127,NHS North East and North Cumbria ICB - 99C,Women known to be non-smokers at time of delivery,438
2022-2023,1,E38000127,NHS North East and North Cumbria ICB - 99C,Women known to be smokers at time of delivery,48
2022-2023,1,E38000127,NHS North East and North Cumbria ICB - 99C,Women whose smoking status was not known at time of delivery,3
2022-2023,1,E38000130,NHS North East and North Cumbria ICB - 00L,Number of maternities,602
2022-2023,1,E38000130,NHS North East and North Cumbria ICB - 00L,Women known to be non-smokers at time of delivery,529
2022-2023,1,E38000130,NHS North East and North Cumbria ICB - 00L,Women known to be smokers at time of delivery,71
2022-2023,1,E38000130,NHS North East and North Cumbria ICB - 00L,Women whose smoking status was not known at time of delivery,2
2022-2023,1,E38000163,NHS North East and North Cumbria ICB - 00N,Number of maternities,352
2022-2023,1,E38000163,NHS North East and North Cumbria ICB - 00N,Women known to be non-smokers at time of delivery,316
2022-2023,1,E38000163,NHS North East and North Cumbria ICB - 00N,Women known to be smokers at time of delivery,36
2022-2023,1,E38000163,NHS North East and North Cumbria ICB - 00N,Women whose smoking status was not known at time of delivery,0
2022-2023,1,E38000176,NHS North East and North Cumbria ICB - 00P,Number of maternities,618
2022-2023,1,E38000176,NHS North East and North Cumbria ICB - 00P,Women known to be non-smokers at time of delivery,526
2022-2023,1,E38000176,NHS North East and North Cumbria ICB - 00P,Women known to be smokers at time of delivery,92
2022-2023,1,E38000176,NHS North East and North Cumbria ICB - 00P,Women whose smoking status was not known at time of delivery,0
2022-2023,1,E38000212,NHS North East and North Cumbria ICB - 13T,Number of maternities,1168
2022-2023,1,E38000212,NHS North East and North Cumbria ICB - 13T,Women known to be non-smokers at time of delivery,1041
2022-2023,1,E38000212,NHS North East and North Cumbria ICB - 13T,Women known to be smokers at time of delivery,127
2022-2023,1,E38000212,NHS North East and North Cumbria ICB - 13T,Women whose smoking status was not known at time of delivery,0
2022-2023,1,E38000215,NHS North East and North Cumbria ICB - 01H,Number of maternities,621
2022-2023,1,E38000215,NHS North East and North Cumbria ICB - 01H,Women known to be non-smokers at time of delivery,569
2022-2023,1,E38000215,NHS North East and North Cumbria ICB - 01H,Women known to be smokers at time of delivery,51
2022-2023,1,E38000215,NHS North East and North Cumbria ICB - 01H,Women whose smoking status was not known at time of delivery,1
2022-2023,1,E38000234,NHS North East and North Cumbria ICB - 84H,Number of maternities,1105
2022-2023,1,E38000234,NHS North East and North Cumbria ICB - 84H,Women known to be non-smokers at time of delivery,925
2022-2023,1,E38000234,NHS North East and North Cumbria ICB - 84H,Women known to be smokers at time of delivery,166
2022-2023,1,E38000234,NHS North East and North Cumbria ICB - 84H,Women whose smoking status was not known at time of delivery,14
2022-2023,1,E38000247,NHS North East and North Cumbria ICB - 16C,Number of maternities,1626
2022-2023,1,E38000247,NHS North East and North Cumbria ICB - 16C,Women known to be non-smokers at time of delivery,1406
2022-2023,1,E38000247,NHS North East and North Cumbria ICB - 16C,Women known to be smokers at time of delivery,216
2022-2023,1,E38000247,NHS North East and North Cumbria ICB - 16C,Women whose smoking status was not known at time of delivery,4
2022-2023,1,E38000052,NHS Humber and North Yorkshire ICB - 02Y,Number of maternities,515
2022-2023,1,E38000052,NHS Humber and North Yorkshire ICB - 02Y,Women known to be non-smokers at time of delivery,468
2022-2023,1,E38000052,NHS Humber and North Yorkshire ICB - 02Y,Women known to be smokers at time of delivery,46
2022-2023,1,E38000052,NHS Humber and North Yorkshire ICB - 02Y,Women whose smoking status was not known at time of delivery,1
2022-2023,1,E38000085,NHS Humber and North Yorkshire ICB - 03F,Number of maternities,794
2022-2023,1,E38000085,NHS Humber and North Yorkshire ICB - 03F,Women known to be non-smokers at time of delivery,644
2022-2023,1,E38000085,NHS Humber and North Yorkshire ICB - 03F,Women known to be smokers at time of delivery,150
2022-2023,1,E38000085,NHS Humber and North Yorkshire ICB - 03F,Women whose smoking status was not known at time of delivery,0
2022-2023,1,E38000119,NHS Humber and North Yorkshire ICB - 03H,Number of maternities,357
2022-2023,1,E38000119,NHS Humber and North Yorkshire ICB - 03H,Women known to be non-smokers at time of delivery,298
2022-2023,1,E38000119,NHS Humber and North Yorkshire ICB - 03H,Women known to be smokers at time of delivery,59
2022-2023,1,E38000119,NHS Humber and North Yorkshire ICB - 03H,Women whose smoking status was not known at time of delivery,0
2022-2023,1,E38000122,NHS Humber and North Yorkshire ICB - 03K,Number of maternities,393
2022-2023,1,E38000122,NHS Humber and North Yorkshire ICB - 03K,Women known to be non-smokers at time of delivery,327
2022-2023,1,E38000122,NHS Humber and North Yorkshire ICB - 03K,Women known to be smokers at time of delivery,64
2022-2023,1,E38000122,NHS Humber and North Yorkshire ICB - 03K,Women whose smoking status was not known at time of delivery,2
2022-2023,1,E38000188,NHS Humber and North Yorkshire ICB - 03Q,Number of maternities,689
2022-2023,1,E38000188,NHS Humber and North Yorkshire ICB - 03Q,Women known to be non-smokers at time of delivery,646
2022-2023,1,E38000188,NHS Humber and North Yorkshire ICB - 03Q,Women known to be smokers at time of delivery,43
2022-2023,1,E38000188,NHS Humber and North Yorkshire ICB - 03Q,Women whose smoking status was not known at time of delivery,0
2022-2023,1,E38000241,NHS Humber and North Yorkshire ICB - 42D,Number of maternities,769
2022-2023,1,E38000241,NHS Humber and North Yorkshire ICB - 42D,Women known to be non-smokers at time of delivery,697
2022-2023,1,E38000241,NHS Humber and North Yorkshire ICB - 42D,Women known to be smokers at time of delivery,69
2022-2023,1,E38000241,NHS Humber and North Yorkshire ICB - 42D,Women whose smoking status was not known at time of delivery,3
2022-2023,1,E38000025,NHS West Yorkshire ICB - 02T,Number of maternities,516
2022-2023,1,E38000025,NHS West Yorkshire ICB - 02T,Women known to be non-smokers at time of delivery,473
2022-2023,1,E38000025,NHS West Yorkshire ICB - 02T,Women known to be smokers at time of delivery,43
2022-2023,1,E38000025,NHS West Yorkshire ICB - 02T,Women whose smoking status was not known at time of delivery,0
2022-2023,1,E38000190,NHS West Yorkshire ICB - 03R,Number of maternities,824
2022-2023,1,E38000190,NHS West Yorkshire ICB - 03R,Women known to be non-smokers at time of delivery,705
2022-2023,1,E38000190,NHS West Yorkshire ICB - 03R,Women known to be smokers at time of delivery,117
2022-2023,1,E38000190,NHS West Yorkshire ICB - 03R,Women whose smoking status was not known at time of delivery,2
2022-2023,1,E38000225,NHS West Yorkshire ICB - 15F,Number of maternities,857
2022-2023,1,E38000225,NHS West Yorkshire ICB - 15F,Women known to be non-smokers at time of delivery,762
2022-2023,1,E38000225,NHS West Yorkshire ICB - 15F,Women known to be smokers at time of delivery,77
2022-2023,1,E38000225,NHS West Yorkshire ICB - 15F,Women whose smoking status was not known at time of delivery,18
2022-2023,1,E38000232,NHS West Yorkshire ICB - 36J,Number of maternities,994
2022-2023,1,E38000232,NHS West Yorkshire ICB - 36J,Women known to be non-smokers at time of delivery,853
2022-2023,1,E38000232,NHS West Yorkshire ICB - 36J,Women known to be smokers at time of delivery,121
2022-2023,1,E38000232,NHS West Yorkshire ICB - 36J,Women whose smoking status was not known at time of delivery,20
2022-2023,1,E38000254,NHS West Yorkshire ICB - X2C4Y,Number of maternities,1033
2022-2023,1,E38000254,NHS West Yorkshire ICB - X2C4Y,Women known to be non-smokers at time of delivery,935
2022-2023,1,E38000254,NHS West Yorkshire ICB - X2C4Y,Women known to be smokers at time of delivery,94
2022-2023,1,E38000254,NHS West Yorkshire ICB - X2C4Y,Women whose smoking status was not known at time of delivery,4
2022-2023,1,E38000006,NHS South Yorkshire ICB - 02P,Number of maternities,695
2022-2023,1,E38000006,NHS South Yorkshire ICB - 02P,Women known to be non-smokers at time of delivery,597
2022-2023,1,E38000006,NHS South Yorkshire ICB - 02P,Women known to be smokers at time of delivery,96
2022-2023,1,E38000006,NHS South Yorkshire ICB - 02P,Women whose smoking status was not known at time of delivery,2
2022-2023,1,E38000044,NHS South Yorkshire ICB - 02X,Number of maternities,787
2022-2023,1,E38000044,NHS South Yorkshire ICB - 02X,Women known to be non-smokers at time of delivery,646
2022-2023,1,E38000044,NHS South Yorkshire ICB - 02X,Women known to be smokers at time of delivery,98
2022-2023,1,E38000044,NHS South Yorkshire ICB - 02X,Women whose smoking status was not known at time of delivery,43
2022-2023,1,E38000141,NHS South Yorkshire ICB - 03L,Number of maternities,581
2022-2023,1,E38000141,NHS South Yorkshire ICB - 03L,Women known to be non-smokers at time of delivery,505
2022-2023,1,E38000141,NHS South Yorkshire ICB - 03L,Women known to be smokers at time of delivery,76
2022-2023,1,E38000141,NHS South Yorkshire ICB - 03L,Women whose smoking status was not known at time of delivery,0
2022-2023,1,E38000146,NHS South Yorkshire ICB - 03N,Number of maternities,1223
2022-2023,1,E38000146,NHS South Yorkshire ICB - 03N,Women known to be non-smokers at time of delivery,1102
2022-2023,1,E38000146,NHS South Yorkshire ICB - 03N,Women known to be smokers at time of delivery,121
2022-2023,1,E38000146,NHS South Yorkshire ICB - 03N,Women whose smoking status was not known at time of delivery,0
2022-2023,2,E92000001,England,Number of maternities,138368
2022-2023,2,E92000001,England,Women known to be non-smokers at time of delivery,121343
2022-2023,2,E92000001,England,Women known to be smokers at time of delivery,12178
2022-2023,2,E92000001,England,Women whose smoking status was not known at time of delivery,4847
2022-2023,2,E40000003,London,Number of maternities,25331
2022-2023,2,E40000003,London,Women known to be non-smokers at time of delivery,23587
2022-2023,2,E40000003,London,Women known to be smokers at time of delivery,1171
2022-2023,2,E40000003,London,Women whose smoking status was not known at time of delivery,573
2022-2023,2,E40000005,South East,Number of maternities,21971
2022-2023,2,E40000005,South East,Women known to be non-smokers at time of delivery,18868
2022-2023,2,E40000005,South East,Women known to be smokers at time of delivery,1674
2022-2023,2,E40000005,South East,Women whose smoking status was not known at time of delivery,1429
2022-2023,2,E40000006,South West,Number of maternities,11913
2022-2023,2,E40000006,South West,Women known to be non-smokers at time of delivery,10248
2022-2023,2,E40000006,South West,Women known to be smokers at time of delivery,1090
2022-2023,2,E40000006,South West,Women whose smoking status was not known at time of delivery,575
2022-2023,2,E40000007,East of England,Number of maternities,15946
2022-2023,2,E40000007,East of England,Women known to be non-smokers at time of delivery,13852
2022-2023,2,E40000007,East of England,Women known to be smokers at time of delivery,1379
2022-2023,2,E40000007,East of England,Women whose smoking status was not known at time of delivery,715
2022-2023,2,E40000010,North West,Number of maternities,18036
2022-2023,2,E40000010,North West,Women known to be non-smokers at time of delivery,15223
2022-2023,2,E40000010,North West,Women known to be smokers at time of delivery,1713
2022-2023,2,E40000010,North West,Women whose smoking status was not known at time of delivery,1100
2022-2023,2,E40000011,Midlands,Number of maternities,27335
2022-2023,2,E40000011,Midlands,Women known to be non-smokers at time of delivery,23996
2022-2023,2,E40000011,Midlands,Women known to be smokers at time of delivery,3037
2022-2023,2,E40000011,Midlands,Women whose smoking status was not known at time of delivery,302
2022-2023,2,E40000012,North East and Yorkshire,Number of maternities,17836
2022-2023,2,E40000012,North East and Yorkshire,Women known to be non-smokers at time of delivery,15569
2022-2023,2,E40000012,North East and Yorkshire,Women known to be smokers at time of delivery,2114
2022-2023,2,E40000012,North East and Yorkshire,Women whose smoking status was not known at time of delivery,153
2022-2023,2,E54000027,NHS North West London Integrated Care Board,Number of maternities,5506
2022-2023,2,E54000027,NHS North West London Integrated Care Board,Women known to be non-smokers at time of delivery,5314
2022-2023,2,E54000027,NHS North West London Integrated Care Board,Women known to be smokers at time of delivery,169
2022-2023,2,E54000027,NHS North West London Integrated Care Board,Women whose smoking status was not known at time of delivery,23
2022-2023,2,E54000028,NHS North Central London Integrated Care Board,Number of maternities,3951
2022-2023,2,E54000028,NHS North Central London Integrated Care Board,Women known to be non-smokers at time of delivery,3597
2022-2023,2,E54000028,NHS North Central London Integrated Care Board,Women known to be smokers at time of delivery,228
2022-2023,2,E54000028,NHS North Central London Integrated Care Board,Women whose smoking status was not known at time of delivery,126
2022-2023,2,E54000029,NHS North East London Integrated Care Board,Number of maternities,6749
2022-2023,2,E54000029,NHS North East London Integrated Care Board,Women known to be non-smokers at time of delivery,6320
2022-2023,2,E54000029,NHS North East London Integrated Care Board,Women known to be smokers at time of delivery,362
2022-2023,2,E54000029,NHS North East London Integrated Care Board,Women whose smoking status was not known at time of delivery,67
2022-2023,2,E54000030,NHS South East London Integrated Care Board,Number of maternities,5137
2022-2023,2,E54000030,NHS South East London Integrated Care Board,Women known to be non-smokers at time of delivery,4835
2022-2023,2,E54000030,NHS South East London Integrated Care Board,Women known to be smokers at time of delivery,240
2022-2023,2,E54000030,NHS South East London Integrated Care Board,Women whose smoking status was not known at time of delivery,62
2022-2023,2,E54000031,NHS South West London Integrated Care Board,Number of maternities,3988
2022-2023,2,E54000031,NHS South West London Integrated Care Board,Women known to be non-smokers at time of delivery,3521
2022-2023,2,E54000031,NHS South West London Integrated Care Board,Women known to be smokers at time of delivery,172
2022-2023,2,E54000031,NHS South West London Integrated Care Board,Women whose smoking status was not known at time of delivery,295
2022-2023,2,E54000032,NHS Kent and Medway Integrated Care Board,Number of maternities,4986
2022-2023,2,E54000032,NHS Kent and Medway Integrated Care Board,Women known to be non-smokers at time of delivery,4486
2022-2023,2,E54000032,NHS Kent and Medway Integrated Care Board,Women known to be smokers at time of delivery,496
2022-2023,2,E54000032,NHS Kent and Medway Integrated Care Board,Women whose smoking status was not known at time of delivery,4
2022-2023,2,E54000034,NHS Frimley Integrated Care Board,Number of maternities,2035
2022-2023,2,E54000034,NHS Frimley Integrated Care Board,Women known to be non-smokers at time of delivery,974
2022-2023,2,E54000034,NHS Frimley Integrated Care Board,Women known to be smokers at time of delivery,81
2022-2023,2,E54000034,NHS Frimley Integrated Care Board,Women whose smoking status was not known at time of delivery,980
2022-2023,2,E54000042,NHS Hampshire and Isle of Wight Integrated Care Board,Number of maternities,4304
2022-2023,2,E54000042,NHS Hampshire and Isle of Wight Integrated Care Board,Women known to be non-smokers at time of delivery,3748
2022-2023,2,E54000042,NHS Hampshire and Isle of Wight Integrated Care Board,Women known to be smokers at time of delivery,380
2022-2023,2,E54000042,NHS Hampshire and Isle of Wight Integrated Care Board,Women whose smoking status was not known at time of delivery,176
2022-2023,2,E54000044,"NHS Buckinghamshire, Oxfordshire and Berkshire West Integrated Care Board",Number of maternities,4126
2022-2023,2,E54000044,"NHS Buckinghamshire, Oxfordshire and Berkshire West Integrated Care Board",Women known to be non-smokers at time of delivery,3798
2022-2023,2,E54000044,"NHS Buckinghamshire, Oxfordshire and Berkshire West Integrated Care Board",Women known to be smokers at time of delivery,223
2022-2023,2,E54000044,"NHS Buckinghamshire, Oxfordshire and Berkshire West Integrated Care Board",Women whose smoking status was not known at time of delivery,105
2022-2023,2,E54000052,NHS Surrey Heartlands Integrated Care Board,Number of maternities,2433
2022-2023,2,E54000052,NHS Surrey Heartlands Integrated Care Board,Women known to be non-smokers at time of delivery,2172
2022-2023,2,E54000052,NHS Surrey Heartlands Integrated Care Board,Women known to be smokers at time of delivery,124
2022-2023,2,E54000052,NHS Surrey Heartlands Integrated Care Board,Women whose smoking status was not known at time of delivery,137
2022-2023,2,E54000053,NHS Sussex Integrated Care Board,Number of maternities,4087
2022-2023,2,E54000053,NHS Sussex Integrated Care Board,Women known to be non-smokers at time of delivery,3690
2022-2023,2,E54000053,NHS Sussex Integrated Care Board,Women known to be smokers at time of delivery,370
2022-2023,2,E54000053,NHS Sussex Integrated Care Board,Women whose smoking status was not known at time of delivery,27
2022-2023,2,E54000036,NHS Cornwall and the Isles of Scilly Integrated Care Board,Number of maternities,1078
2022-2023,2,E54000036,NHS Cornwall and the Isles of Scilly Integrated Care Board,Women known to be non-smokers at time of delivery,932
2022-2023,2,E54000036,NHS Cornwall and the Isles of Scilly Integrated Care Board,Women known to be smokers at time of delivery,145
2022-2023,2,E54000036,NHS Cornwall and the Isles of Scilly Integrated Care Board,Women whose smoking status was not known at time of delivery,1
2022-2023,2,E54000037,NHS Devon Integrated Care Board,Number of maternities,2533
2022-2023,2,E54000037,NHS Devon Integrated Care Board,Women known to be non-smokers at time of delivery,1842
2022-2023,2,E54000037,NHS Devon Integrated Care Board,Women known to be smokers at time of delivery,195
2022-2023,2,E54000037,NHS Devon Integrated Care Board,Women whose smoking status was not known at time of delivery,496
2022-2023,2,E54000038,NHS Somerset Integrated Care Board,Number of maternities,1204
2022-2023,2,E54000038,NHS Somerset Integrated Care Board,Women known to be non-smokers at time of delivery,1099
2022-2023,2,E54000038,NHS Somerset Integrated Care Board,Women known to be smokers at time of delivery,105
2022-2023,2,E54000038,NHS Somerset Integrated Care Board,Women whose smoking status was not known at time of delivery,0
2022-2023,2,E54000039,"NHS Bristol, North Somerset and South Gloucestershire Integrated Care Board",Number of maternities,2104
2022-2023,2,E54000039,"NHS Bristol, North Somerset and South Gloucestershire Integrated Care Board",Women known to be non-smokers at time of delivery,1899
2022-2023,2,E54000039,"NHS Bristol, North Somerset and South Gloucestershire Integrated Care Board",Women known to be smokers at time of delivery,203
2022-2023,2,E54000039,"NHS Bristol, North Somerset and South Gloucestershire Integrated Care Board",Women whose smoking status was not known at time of delivery,2
2022-2023,2,E54000040,"NHS Bath and North East Somerset, Swindon and Wiltshire Integrated Care Board",Number of maternities,2053
2022-2023,2,E54000040,"NHS Bath and North East Somerset, Swindon and Wiltshire Integrated Care Board",Women known to be non-smokers at time of delivery,1902
2022-2023,2,E54000040,"NHS Bath and North East Somerset, Swindon and Wiltshire Integrated Care Board",Women known to be smokers at time of delivery,151
2022-2023,2,E54000040,"NHS Bath and North East Somerset, Swindon and Wiltshire Integrated Care Board",Women whose smoking status was not known at time of delivery,0
2022-2023,2,E54000041,NHS Dorset Integrated Care Board,Number of maternities,1512
2022-2023,2,E54000041,NHS Dorset Integrated Care Board,Women known to be non-smokers at time of delivery,1322
2022-2023,2,E54000041,NHS Dorset Integrated Care Board,Women known to be smokers at time of delivery,144
2022-2023,2,E54000041,NHS Dorset Integrated Care Board,Women whose smoking status was not known at time of delivery,46
2022-2023,2,E54000043,NHS Gloucestershire Integrated Care Board,Number of maternities,1429
2022-2023,2,E54000043,NHS Gloucestershire Integrated Care Board,Women known to be non-smokers at time of delivery,1252
2022-2023,2,E54000043,NHS Gloucestershire Integrated Care Board,Women known to be smokers at time of delivery,147
2022-2023,2,E54000043,NHS Gloucestershire Integrated Care Board,Women whose smoking status was not known at time of delivery,30
2022-2023,2,E54000022,NHS Norfolk and Waveney Integrated Care Board ,Number of maternities,2133
2022-2023,2,E54000022,NHS Norfolk and Waveney Integrated Care Board ,Women known to be non-smokers at time of delivery,1848
2022-2023,2,E54000022,NHS Norfolk and Waveney Integrated Care Board ,Women known to be smokers at time of delivery,258
2022-2023,2,E54000022,NHS Norfolk and Waveney Integrated Care Board ,Women whose smoking status was not known at time of delivery,27
2022-2023,2,E54000023,NHS Suffolk and North East Essex Integrated Care Board,Number of maternities,2210
2022-2023,2,E54000023,NHS Suffolk and North East Essex Integrated Care Board,Women known to be non-smokers at time of delivery,1930
2022-2023,2,E54000023,NHS Suffolk and North East Essex Integrated Care Board,Women known to be smokers at time of delivery,213
2022-2023,2,E54000023,NHS Suffolk and North East Essex Integrated Care Board,Women whose smoking status was not known at time of delivery,67
2022-2023,2,E54000024,"NHS Bedfordshire, Luton and Milton Keynes Integrated Care Board",Number of maternities,2836
2022-2023,2,E54000024,"NHS Bedfordshire, Luton and Milton Keynes Integrated Care Board",Women known to be non-smokers at time of delivery,2299
2022-2023,2,E54000024,"NHS Bedfordshire, Luton and Milton Keynes Integrated Care Board",Women known to be smokers at time of delivery,180
2022-2023,2,E54000024,"NHS Bedfordshire, Luton and Milton Keynes Integrated Care Board",Women whose smoking status was not known at time of delivery,357
2022-2023,2,E54000025,NHS Hertfordshire and West Essex Integrated Care Board,Number of maternities,3603
2022-2023,2,E54000025,NHS Hertfordshire and West Essex Integrated Care Board,Women known to be non-smokers at time of delivery,3292
2022-2023,2,E54000025,NHS Hertfordshire and West Essex Integrated Care Board,Women known to be smokers at time of delivery,267
2022-2023,2,E54000025,NHS Hertfordshire and West Essex Integrated Care Board,Women whose smoking status was not known at time of delivery,44
2022-2023,2,E54000026,NHS Mid and South Essex Integrated Care Board,Number of maternities,2831
2022-2023,2,E54000026,NHS Mid and South Essex Integrated Care Board,Women known to be non-smokers at time of delivery,2492
2022-2023,2,E54000026,NHS Mid and South Essex Integrated Care Board,Women known to be smokers at time of delivery,235
2022-2023,2,E54000026,NHS Mid and South Essex Integrated Care Board,Women whose smoking status was not known at time of delivery,104
2022-2023,2,E54000056,NHS Cambridgeshire and Peterborough Integrated Care Board,Number of maternities,2333
2022-2023,2,E54000056,NHS Cambridgeshire and Peterborough Integrated Care Board,Women known to be non-smokers at time of delivery,1991
2022-2023,2,E54000056,NHS Cambridgeshire and Peterborough Integrated Care Board,Women known to be smokers at time of delivery,226
2022-2023,2,E54000056,NHS Cambridgeshire and Peterborough Integrated Care Board,Women whose smoking status was not known at time of delivery,116
2022-2023,2,E54000008,NHS Cheshire and Merseyside Integrated Care Board,Number of maternities,5609
